"x","MC reward","sarsa reward","q reward"
"100","-0.049023209671465486","-0.0836056202845681","-0.06408385950434008"
"200","-0.031462006985262796","-0.07730627310607573","-0.013909143144437267"
"300","-0.03494329921137028","-0.06272914721444134","-0.015351775310697008"
"400","-0.030187895745440497","-0.06335813979165042","-0.04342860842487921"
"500","-0.02856934490630142","-0.07008685405096697","-0.0190190379795643"
"600","-0.024236937082525313","-0.04391472870177599","-0.027494505494505484"
"700","-0.029492481203007515","-0.040395121168223205","-0.02894527041585866"
"800","-0.022572050412607684","-0.03730449782775365","-0.025021934714154405"
"900","-0.02349007936507936","-0.03160321750321752","-0.01692963980463981"
"1000","-0.058266757246376824","-0.04459260263245085","-0.028831100186363357"
"1100","-0.01836823960353371","-0.028165304380861667","-0.025565116410936856"
"1200","-0.020844017094017085","-0.02815556793056794","-0.04106953781512605"
"1300","-0.026238705429121247","-0.01721978021978022","-0.02267811355311356"
"1400","-0.03020208389933453","-0.02994123439284731","-0.02287669683257919"
"1500","-0.03238864049893461","-0.0381691200096773","-0.031314494569757746"
"1600","-0.024920493636050905","-0.03975247809812797","-0.02419740055266372"
"1700","-0.03355169724894788","-0.03687541298570712","-0.022136446886446892"
"1800","-0.018487637362637355","-0.046407308377896625","-0.02666510025062658"
"1900","-0.022526793013749533","-0.039666208791208794","-0.028377168174962303"
"2000","-0.028563827838827834","-0.024858318968613093","-0.029799712491932185"
"2100","-0.03013664799253034","-0.02329716117216118","-0.029117610602593453"
"2200","-0.030147243107769416","-0.01940879772961817","-0.024636096746390872"
"2300","-0.018717445952740063","-0.008017156862745099","-0.02914180672268909"
"2400","-0.027128868715825226","-0.03167857142857144","-0.020540508511096754"
"2500","-0.03654761904761905","-0.026877397112691236","-0.03443514565070293"
"2600","-0.018004731379731367","-0.013073475544063778","-0.026706309041835363"
"2700","-0.020806940522497788","-0.028983516483516485","-0.042186507936507946"
"2800","-0.025990079365079355","-0.02804844501903327","-0.017646125116713353"
"2900","-0.024279970760233912","-0.03406330274584752","-0.005362637362637359"
"3000","-0.03188766788766788","-0.03788834281585662","-0.019514861500155627"
"3100","-0.025261455083705718","-0.02547298534798535","-0.03215873015873017"
"3200","-0.015718462823725972","-0.019044063779357905","-0.025242368742368754"
"3300","-0.02051465201465201","-0.02675721288515407","-0.026105113840407968"
"3400","-0.02788498820580863","-0.024029925870483155","-0.016103075065031593"
"3500","-0.014803113553113543","-0.03209767683297095","-0.021065126050420175"
"3600","-0.019320970695970687","-0.025766286001580124","-0.017587364432952675"
"3700","-0.031868699690950325","-0.02673673295229024","-0.02926166456920934"
"3800","-0.022200046685340796","-0.027957112332112337","-0.015440889176183298"
"3900","-0.03054971249193217","-0.034445215767466425","-0.023501176111470234"
"4000","-0.02460084033613445","-0.04493711816505935","-0.020507541478129717"
"4100","-0.026954726559989713","-0.019136656371950493","-0.053544204714685274"
"4200","-0.020526206636500743","-0.0388694590433721","-0.029371794871794886"
"4300","-0.01898687423687423","-0.02866835284280938","-0.03359403797956431"
"4400","-0.020641636141636135","-0.030930356479269533","-0.013368035473298632"
