"x","MC loss","sarsa loss","q loss"
"100","0.215552333357794","0.09289621375828158","0.12809423867870867"
"200","0.12389691720618186","0.09188362653111584","0.09324536638594183"
"300","0.11388999086790685","0.08327070453623617","0.07614029770289141"
"400","0.09992803815327087","0.07769186981713519","0.07058522140906924"
"500","0.08443026675847883","0.08590379377728344","0.05050249239562939"
"600","0.08589178223537966","0.06671253829010584","0.04206808508033641"
"700","0.08153774615454061","0.06786826853821334","0.037354403616167"
"800","0.08779313123137975","0.06986456927595124","0.04679620122015595"
"900","0.10256178056471277","0.05523983427721872","0.0471939254852123"
"1000","0.08470094008149294","0.0661605353811325","0.030486211271175588"
"1100","0.08156544011842116","0.09647811158107444","0.01792242911906943"
"1200","0.0718568812670057","0.07132874671167047","0.01764919452311349"
"1300","0.0958610549407489","0.03766738210951943","0.022048118370980564"
"1400","0.0612081013373275","0.05463447956011057","0.011319389906779696"
"1500","0.07150033466288792","0.05288548340558745","0.022115151038981103"
"1600","0.11662684057226425","0.06128624311801787","0.016007289400259327"
"1700","0.07257604164602333","0.05150466289140658","0.011293478011730113"
"1800","0.07174637764850007","0.03912068889808999","0.007964184341959848"
"1900","0.0728160415262866","0.029001430354302575","0.019452459419732594"
"2000","0.08180390891508826","0.04343814172144832","0.003906538243559802"
"2100","0.07952138938123313","0.039399479739763876","0.008224311209953216"
"2200","0.06930174002401865","0.0631463112673988","0.008206013467073612"
"2300","0.04901290345623588","0.037704631213788156","0.010709707993340818"
"2400","0.06086262951287734","0.05900588532822657","0.010331228001359397"
"2500","0.0817687149331642","0.061309453663038416","0.010536240869485371"
"2600","0.05315587910929116","0.033650417635780874","0.01386318183037436"
"2700","0.06542124814611874","0.053783208432482965","0.005286271733833719"
"2800","0.05487857046083461","0.040535201195621415","0.00835243853638133"
"2900","0.06632673853687443","0.04999264680210212","0.0044696687127893184"
"3000","0.06535750060953759","0.040564730795058186","0.0060020237224468875"
"3100","0.051097781402367745","0.036813318690311056","0.0037528860422320794"
"3200","0.07460549014593597","0.043085313107628524","0.005927008800968155"
"3300","0.04673482056022606","0.0344788301315413","0.00923194550691841"
"3400","0.045736342985433664","0.037642060965939264","0.006604762226695866"
"3500","0.06366394492684363","0.048790550750648094","0.00442912260533143"
"3600","0.11464789812453688","0.06314943280877768","0.001649313513594453"
"3700","0.070754382260339","0.03275438243671707","0.0039840559466814505"
"3800","0.0664660196699658","0.047649973681109126","0.0029475801438112502"
"3900","0.07891873137767284","0.05628366619553058","0.002976995803681011"
"4000","0.0537448350356842","0.05106425814805288","0.0027748176739453997"
"4100","0.050899716599761724","0.058109273182720286","0.008363913752184617"
"4200","0.050389094060139784","0.03383318381026757","0.008179677303312856"
"4300","0.058716343541692376","0.03571963765648891","0.0030457523483941977"
"4400","0.060465421959020806","0.036173333269433394","0.0017132175717690281"
"4500","0.047302985229809476","0.044098265459962205","0.001140538548206177"
"4600","0.05423093094377037","0.0504514147668166","0.005527640456611413"
